 6.534911578026222e-03 3.600718714113804e-01 2.732201732861663e-02
 6.697487108264358e-03 3.065897500776678e-01 2.302664840391319e-02
 6.864107192543758e-03 3.373320993636845e-01 2.191332346098619e-02
 7.034872451279862e-03 3.350638182652422e-01 1.943056855855520e-02
 7.209886008122802e-03 3.608036985261843e-01 1.886733785788569e-02
 7.389253552232881e-03 3.226270494089324e-01 1.600073881287522e-02
 7.573083402105331e-03 3.278292812044665e-01 1.438779192331744e-02
 7.761486570982908e-03 3.610297040493463e-01 1.407932630991027e-02
 7.954576833895822e-03 3.695481217947552e-01 1.316966620891657e-02
 8.152470796369483e-03 3.619802965317396e-01 1.199313611948339e-02
 8.355287964841562e-03 3.629112861303309e-01 1.105901779604332e-02
 8.563150818830891e-03 3.915782100714219e-01 1.092576497727441e-02
 8.776184884901766e-03 4.089252589728734e-01 1.046940177541924e-02
 8.994518812468353e-03 4.239856848249408e-01 1.019492120056814e-02
 9.218284451484940e-03 4.095282401008770e-01 9.329757078764258e-03
 9.447616932068983e-03 4.357697159141447e-01 9.143663307336897e-03
 9.682654746104996e-03 4.475097220535799e-01 8.791986055859808e-03
 9.923539830878595e-03 4.403378412535328e-01 8.257933121358838e-03
 1.017041765479119e-02 4.505131784016875e-01 7.982953341264958e-03
 1.042343730520709e-02 4.333866622391448e-01 7.414415324350383e-03
 1.068275157848603e-02 4.287659083809068e-01 7.018794396643918e-03
 1.094851707225561e-02 4.334089535521505e-01 7.790804021351034e-03
 1.122089427997918e-02 4.011556241021793e-01 7.789301160841552e-03
 1.150004768787650e-02 4.036954561295039e-01 7.564301421654889e-03
 1.178614587425550e-02 3.888857741097576e-01 7.038320895225946e-03
 1.207936161131522e-02 3.680831149299805e-01 6.460556218737190e-03
 1.237987196948152e-02 3.618112049796374e-01 6.202953842942916e-03
 1.268785842433829e-02 3.338669045320131e-01 5.588094964795166e-03
 1.300350696621897e-02 3.314700932183154e-01 5.415380725312221e-03
 1.332700821252457e-02 2.978023781576124e-01 4.793590893422323e-03
 1.365855752283576e-02 2.716265721670803e-01 4.333844589670624e-03
 1.399835511688886e-02 2.460151927057191e-01 3.910344451620239e-03
 1.434660619548682e-02 2.259340300354955e-01 3.575338581038311e-03
 1.470352106441815e-02 2.034539835427473e-01 3.213601337166557e-03
 1.506931526145874e-02 1.806159927320910e-01 2.844895582001781e-03
 1.544420968653331e-02 1.594255316170421e-01 2.532794563993208e-03
 1.582843073511489e-02 1.344988889613319e-01 2.171299529798954e-03
 1.622221043494308e-02 1.177904429414814e-01 1.916447535347867e-03
 1.662578658614359e-02 9.793600267644953e-02 1.650835578289616e-03
 1.703940290483367e-02 8.140572968226258e-02 1.422427386599063e-03
 1.746330917030012e-02 6.703766954509732e-02 1.227038337492694e-03
 1.789776137583885e-02 5.639545354770818e-02 1.062015274044806e-03
 1.834302188334697e-02 4.440350838636447e-02 8.923368777270704e-04
 1.879935958176087e-02 3.652443697068206e-02 7.708267510578065e-04
 1.926705004943591e-02 2.889588819641033e-02 6.547854343307806e-04
 1.974637572056578e-02 2.182046883642354e-02 5.426292162594889e-04
 2.023762605574202e-02 1.705016370742448e-02 4.617446538241477e-04
 2.074109771675677e-02 1.274710615876299e-02 3.820257293446211e-04
 2.125709474575424e-02 9.712917228191115e-03 3.222309967163338e-04
 2.178592874883912e-02 7.144607057542618e-03 2.660088564131078e-04
 2.232791908425273e-02 5.883037690385547e-03 2.338787057300640e-04
 2.288339305523077e-02 4.466258986989934e-03 1.982840303424586e-04
 2.345268610765881e-02 3.512001614200193e-03 1.723509090267641e-04
 2.403614203264514e-02 3.263617459315652e-03 1.622583052716160e-04
 2.463411317413329e-02 2.763493186506118e-03 1.476557505817027e-04
 2.524696064167938e-02 2.699637386479561e-03 1.443971134768000e-04
 2.587505452852307e-02 2.937059900714727e-03 1.493258126442974e-04
 2.651877413508367e-02 2.928544949289090e-03 1.484350674439132e-04
 2.717850819801628e-02 2.964908889772391e-03 1.496230858945501e-04
